chuckie;\n*DOS\n*DIR\n*RUN"runme"
egghead;\n*DOS\n*DIR\n*RUN"EHRUN"
f14;\n*DOS\n*DIR\n*RUN"F1 4RUN"
gala;\n*DOS\n*DIR\n*RUN"runme"
galxians;\n*DOS\n*DIR\n*RUN"GALAXI"
hardhath;\n*DOS\n*DIR\n*RUN"LOADER"
hypervpr;\n*DOS\n*DIR\n*RUN"LOADER"
jetsetmn;\n*DOS\n*DIR\n*RUN"LOADER"
jsw;\n*DOS\n*DIR\n*RUN"JSWRUN"
jsw2;\n*DOS\n*DIR\n*RUN"JSW2RUN"
joeblade;\n*DOS\n*DIR\n*RUN"JOE"
jungle;\n*DOS\n*DIR\n*RUN"runme"
manicmin;\n*DOS\n*DIR\n*RUN"MMRUN"
repton;\n*DOS\n*DIR\n*RUN"runme"
tetris;\n*DOS\n*DIR\n*RUN"SIDRUN"
flappy;\n*DOS\n*DIR\n*RUN"FLAPPY"
