3dmoncrz;MLOAD "3D MONSTER"
backgmmn;LOAD "BACKGAMMON"
battlbrk;LOAD "BATTLEBRICK"
centiped;MLOAD "CENTIPEDE"
colossal;LOAD "COLOSSAL"
dambustr;LOAD "DAM BUSTER"
deathball;LOAD "DEATHBALL"
diggerman;MLOAD "DIGGERMAN"
dungeon;LOAD "DUNGEON"
floydbank;MLOAD "FLOYDS BANK"
gamepak4;MLOAD "GEMPACK 4"
gobblspk;MLOAD "SPOOK"
hangman;LOAD "HANGMAN"
labyrinth;LOAD "LABYRINTHE"
logichess;MLOAD "ECHECS"
invaders;MLOAD "INVADERS"
mastermnd;LOAD "MASTERMIND"
mazeman;MLOAD "MAZEMAN"
minedout;LOAD "MINEDOUTGOOD"
moonfallf;LOAD "Moonfall2"
moonfall;LOAD "MOONFALL"
muncher;LOAD "MUNCHER"
nuclear;LOAD "NUCLEAR"
numerons;LOAD "NUMERONS"
asterix;LOAD "ASTERIX"
ohmummy;MLOAD "OH MUMMY"
panik;LOAD "PANIK"
pengo;MLOAD "PENGO"
pwrblastr;MLOAD "POWER BLASTER"
racer;LOAD "RACER"
rocketman;LOAD "ROCKETMAN"
spellbnd;LOAD "SPELLBOUND"
scrablynx;LOAD "SCRABLYNX"
siege;MLOAD "SIEGE ATTACK"
spactrek;LOAD "TREK"
sairraid;LOAD "SUPER AIR RAID"
treasisld;LOAD "TREASURE"
twinkle;MLOAD "TWINKLE"
worm;LOAD "THE WORM"
wormf;LOAD "THE WORM"
ynxvader;MLOAD "YNXVADERS"
zombie;LOAD "ZombiePanic"
aide;LOAD "AIDE"
cardindx;LOAD "CARD INDEX"
composer;LOAD "COMPOSER"
disassmbf;LOAD "DES.IMP"
disassmb;LOAD "DESASS"
genbasic;LOAD "GENEBASIC"
gencarac;LOAD "GENECAR"
wordproc;MLOAD "LIONTEXT"
moder80;MLOAD "CODE"
musicmstr;LOAD "MUSIC MASTER"
6845p;LOAD "6845P"
chopin;LOAD "CHOPIN"
cinema;LOAD "CINEMA"
forest;LOAD "THE FOREST"
gridtrap;LOAD "GRIDTRAP"
hilo;LOAD "CARDS"
inteltab;LOAD "INTELTABLYNX"
maximots;LOAD "MAXI-MOTS"
planets;LOAD "PLANETS"
risingmn;LOAD "CP FP"
scrndmp;LOAD "RPENROSE"
starover;LOAD "SR"
triangle;LOAD "BRUMBELOW"
tronblkr;LOAD "TRON BLOCKER"
