1941;270
1941j;270
1941r1;270
1941u;270
1942;270
1942a;270
1942abl;270
1942b;270
1942h;270
1942p;270
1942w;270
1943;270
1943b;270
1943bj;270
1943j;270
1943ja;270
1943jah;270
1943kai;270
1943mii;270
1943u;270
1943ua;270
1945kiii;270
1945kiiin;270
1945kiiio;270
19in1;90
19xx;270
19xxa;270
19xxar1;270
19xxb;270
19xxd;270
19xxh;270
19xxj;270
19xxjr1;270
19xxjr2;270
19xxu;270
20pacgal;90
20pacgalr0;90
20pacgalr1;90
20pacgalr2;90
20pacgalr3;90
20pacgalr4;90
25pacman;90
25pacmano;90
39in1;90
48in1;90
48in1a;90
48in1b;90
48in1c;90
4in1;90
4in1a;90
4in1b;90
5;270
600;90
60in1;90
800fath;90
800fatha;90
8ball;90
8ball1;90
8ballact;270
8ballact2;270
8bpm;90
99lstwar;90
99lstwara;90
99lstwarb;90
99lstwark;90
aafb;270
aafbb;270
aafbc;270
aafbd2p;270
abattle;90
abattle2;90
abscam;90
aceattac;270
aceattaca;270
acombat;90
acombat3;90
acombat4;90
acombato;90
acrobatm;270
ad2083;90
aerfboo2;270
aerfboot;270
aerofgt;270
aerofgtb;270
aerofgtc;270
aerofgts;270
afighter;270
afightera;270
afighterb;270
afighterc;270
afighterd;270
afightere;270
afighterf;270
afighterg;270
afighterh;270
afire;90
agallet;270
agalleta;270
agalletah;270
agalletaj;270
agalletak;270
agalletat;270
agalletau;270
agalleth;270
agalletj;270
agalletk;270
agallett;270
agalletu;270
airass;270
airattck;270
airattcka;270
airduel;270
airdueljm72;270
airduelm72;270
airduelu;270
airraid;270
ajax;90
ajaxj;90
akkanvdr;270
alcon;270
alibaba;90
alibabab;90
alieninv;270
alieninvp2;270
alinvade;90
alleymas;270
alphaho;270
alphahob;270
alphamis;270
alphaxz;90
alpine;270
alpinea;270
altair;90
amatelas;270
amazon;270
amazont;270
amidar;90
amidar1;90
amidarb;90
amidarc;90
amidaro;90
amidars;90
amidaru;90
amigo;90
amigo2;90
androidp;90
androidpo;90
andromed;270
angelkds;90
anmlbskt;270
anmlbskta;270
anteater;90
anteaterg;90
anteatergg;90
anteateruk;90
apb;270
apb1;270
apb2;270
apb3;270
apb4;270
apb5;270
apb6;270
apbf;270
apbg;270
aponow;90
arabian;270
arabiana;270
aracnis;90
arbalest;270
arcadian;270
argus;270
arian;270
ark1ball;90
arkangc;90
arkangc2;90
arkanoid;90
arkanoidj;90
arkanoidja;90
arkanoidjb;90
arkanoidjbl;90
arkanoidjbl2;90
arkanoidu;90
arkanoiduo;90
arkatayt;90
arkatour;90
arkbloc2;90
arkbloc3;90
arkblock;90
arkgcbl;90
arkgcbla;90
arknoid2;270
arknoid2b;270
arknoid2j;270
arknoid2u;270
arktayt2;90
armchmp2;270
armchmp2o;270
armchmp2o2;270
armedf;270
armedff;270
armorcar;90
armorcar2;90
ashura;270
ashuraj;270
ashurau;270
asideral;90
aso;270
assault;90
assaultj;90
assaultp;90
asterion;90
astinvad;270
astrians;90
astroamb;90
astrob;270
astrob1;270
astrob2;270
astrob2a;270
astrob2b;270
astrobg;270
astrof;90
astrof2;90
astrof3;90
astroff;90
astroff2;90
astrowar;90
asuka;270
asukaj;270
asukaja;270
asylum;270
ataqandr;90
atetrisc;270
atetrisc2;270
atlantis;90
atlantis2;90
atlantisb;270
atombjt;270
attckufo;270
avefenix;90
avefenixl;90
avefenixrf;90
avengers;90
avengers2;90
azurian;90
bagman;270
bagmanf;270
bagmanj;270
bagmanm2;90
bagmanmc;90
bagmans;270
bagmans3;270
bagmans4;270
bagnard;270
bagnarda;270
bagnardi;90
bagnardio;90
bakubrkr;90
ballbomb;270
baluba;90
bandido;270
bandit;90
baracuda;90
barrier;270
baryon;270
baryona;270
batman2;270
batrider;270
batriderc;270
batriderhk;270
batriderj;270
batriderja;270
batriderk;270
batridert;270
batrideru;270
batsugun;270
batsuguna;270
batsugunb;270
batsugunsp;270
battlane;90
battlane2;90
battlane3;90
battles;90
battles2;90
battlnts;90
battlntsa;90
battlntsj;90
battroad;90
bbakraid;270
bbakraidc;270
bbakraidj;270
bbakraidja;270
bcruzm12;90
beaminv;270
beastf;270
beastfp;90
beezer;90
beezer1;90
berenstn;90
bermudat;270
bermudata;270
bermudatj;270
bgaregga;270
bgareggabl;270
bgareggabla;270
bgareggacn;270
bgareggahk;270
bgaregganv;270
bgareggat;270
bgareggat2;270
bgareggatw;270
bigbang;270
bigevglf;270
bigevglfj;270
bigkong;270
bigprowr;270
bikkuric;90
billiard;90
bioatack;270
birdiy;270
birdtry;270
birdtrya;270
bjtwin;270
bjtwina;270
bjtwinp;270
bjtwinpa;270
bking;270
bking2;90
bking3;90
blackhol;270
bladestl;90
bladestle;90
bladestll;90
blastoff;90
blazer;90
blkbustr;90
blkhole;90
block;270
block2;90
blockbl;270
blockcar;90
blockcarb;90
blockch;270
blockgal;90
blockgalb;90
blockj;270
blockr1;270
blockr2;270
blokpong;270
blswhstl;90
blswhstla;90
bluehawk;270
bluehawkn;270
blueprnt;270
blueprntj;270
bnj;270
bnjm;270
boggy84;90
boggy84b;90
boggy84b2;90
bombbee;90
bomber;90
bombjack;90
bombjack2;90
bombjackt;90
bombsa;270
bongo;90
boobhack;270
boomrang;270
boomranga;270
boonggab;270
botanic;90
botanic2;90
botanicf;270
bowl3d;90
bowler;90
bowlrama;270
brdrlinb;270
brdrline;270
brdrlinet;270
brdrlins;270
breakout;90
brickzn;90
brickzn11;90
brickznv4;90
brickznv5;90
brix;90
bronx;90
brubber;270
brvblade;270
brvbladea;270
brvbladej;270
brvbladeu;270
btime;270
btime2;270
btime3;270
btimem;270
btlfield;90
btlfieldb;90
bucaner;90
