beat mania for WonderSwan (Japan);90
Beatmania for WonderSwan (Japan);90
Crazy Climber (Japan);90
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan);90
From TV Animation One Piece - Mezase Kaizoku Ou! (Japan);90
GunPey (Japan);90
Magical Drop for WonderSwan (Japan);90
Meitantei Conan - Majutsushi no Chousenjou! (Japan);90
Mingle Magnet (Japan) (En,Ja) (Rev 1);90
Mingle Magnet (Japan);90
Mobile Suit Gundam MSVS (Japan);90
Puzzle Bobble (Japan);90
Rainbow Islands - Putty's Party (Japan);90
Ring Infinity (Japan);90
Sennou Millennium (Japan);90
Slither Link (Japan);90
Tare Panda no GunPey (Japan);90
Terrors (Japan);90
Tetsujin 28 Gou (Japan);90
Tokyo Majin Gakuen - Fuju Houroku (Japan);90
Uzumaki - Denshi Kaiki Hen (Japan) (Rev 4);90
