adam;adam;cass;
advision;advision;cart;
apfm1000;apfm1000;cart;
arcadia;arcadia;cart;
archimedes;aa4401;flop;
astrocde;astrocde;cart;
atom;atom;flop1;'*DOS\n*DIR\n*CAT\n*RUN"'
bbc;bbcb;flop1;;
camplynx;lynx128k;cass;'mload""\\n'
cdi;cdimono1;cdrm;
coco;coco3;cart;
crvision;crvision;cart;
electron;electron64;cass;'*T.\nCH.""\n'
fm7;fm7;flop1;
gamate;gamate;cart;
gameandwatch;;;
gamecom;gamecom;cart1;
gamepock;gamepock;cart;
gmaster;gmaster;cart;
lcdgames;;;
macintosh;maclc3;flop1;
megaduck;megaduck;cart;
plugnplay;;;
pv1000;pv1000;cart;
socrates;socrates;cart;
supracan;supracan;cart;
ti99;ti99_4a;cart;
tutor;tutor;cart;
vectrex;vectrex;cart;
vgmplay;vgmplay;quik;
vsmile;vsmile;cart;
xegs;xegs;cart;
