    ROM Set         Title
    -------         -----
    bassdx          Sega Bass Fishing (USA, Deluxe)
    dayto2pe        Daytona USA 2 - Power Edition (Japan)
    daytona2        Daytona USA 2 - Battle on the Edge (Japan, Revision A)
    dirtdvls        Dirt Devils (Export, Revision A)
    dirtdvlsau       Dirt Devils (Australia, Revision A)
    dirtdvlsg       Dirt Devils (Export, Ver. G?)
    dirtdvlsj       Dirt Devils (Japan, Revision A)
    dirtdvlsu       Dirt Devils (USA, Revision A)
    eca             Emergency Call Ambulance (Export)
    ecaj            Emergency Call Ambulance (Japan)
    ecap            Emergency Call Ambulance (US location test?)
    ecau            Emergency Call Ambulance (USA)
    fvipers2        Fighting Vipers 2 (Japan, Revision A)
    fvipers2o       Fighting Vipers 2 (?)
    getbass         Get Bass: Sega Bass Fishing (Japan, Standard)
    getbassdx       Get Bass: Sega Bass Fishing (Japan, Deluxe)
    getbassur       Get Bass: Sega Bass Fishing (Japan, Upright)
    harley          Harley-Davidson and L.A. Riders (Revision B)
    harleya         Harley-Davidson and L.A. Riders (Revision A)
    lamachin        L.A. Machineguns: Rage of the Machines (Japan)
    lemans24        Le Mans 24 (Japan, Revision B)
    lostwsga        The Lost World (Japan, Revision A)
    lostwsgp        The Lost World (Location Test)
    magtruck        Magical Truck Adventure (Japan)
    oceanhun        The Ocean Hunter (Japan)
    scud            Scud Race (Export, Twin/DX)
    scudau          Scud Race (Australia, Twin/DX)
    scuddx          Scud Race (Export, Deluxe)
    scudplus        Scud Race Plus (Export, Twin/DX, Revision A)
    scudplusa       Scud Race Plus (Export, Twin/DX)
    skichamp        Ski Champ (Japan)
    spikeofe        Spikeout Final Edition (Export)
    spikeout        Spikeout (Export, Revision C)
    srally2         Sega Rally 2 (Export)
    srally2dx       Sega Rally 2 (Export, Deluxe)
    srally2p        Sega Rally 2 (Prototype)
    srally2pa       Sega Rally 2 (Prototype Version A)
    swtrilgy        Star Wars Trilogy Arcade (Export, Revision A)
    swtrilgya       Star Wars Trilogy Arcade (Export)
    swtrilgyp       Star Wars Trilogy Arcade (Location Test, 16.09.98)
    vf3             Virtua Fighter 3 (Revision D)
    vf3a            Virtua Fighter 3 (Revision A)
    vf3c            Virtua Fighter 3 (Revision C)
    vf3tb           Virtua Fighter 3 Team Battle (?)
    von2            Virtual On 2: Oratorio Tangram (Revision B)
    von254g         Virtual On 2: Oratorio Tangram (Ver 5.4g)
    von2a           Virtual On 2: Oratorio Tangram (Revision A)
    von2o           Virtual On 2: Oratorio Tangram (?)
    vs2             Virtua Striker 2 (Step 2.0)
    vs215           Virtua Striker 2 (Step 1.5)
    vs215o          Virtua Striker 2 (Step 1.5, older)
    vs298           Virtua Striker 2 '98 (Step 2.0)
    vs29815         Virtua Striker 2 '98 (Step 1.5)
    vs299           Virtua Striker 2 '99 (?)
    vs29915         Virtua Striker 2 '99 (Step 1.5)
    vs299a          Virtua Striker 2 '99 (Revision A)
    vs299b          Virtua Striker 2 '99 (Revision B)
    vs2v991         Virtua Striker 2 '99.1 (Revision B)

