#Tour files are loaded onto the tournament select field on the main menu
#They contain a set number of "tour stops" that they players play through
#Each tour stop consists of a map, mode and goal
#If a map is not on the user's machine, it will choose a random map

#Modes
#0 = Classic
#1 = Frag
#2 = Time Limit
#3 = Jail
#4 = Coins
#5 = Stomp
#6 = Eggs
#7 = CTF
#8 = Chicken
#9 = Tag
#10 = Ztar
#11 = Domination
#12 = King of the Hill
#13 = Race
#14 = Owned
#15 = Frenzy
#16 = Thwomp

#Version
1.7.0.2

#Tour Stops (maximum 10 stops)
#Map,Mode,Goal,Points,Bonus Wheel,Name
ssbmjunglejapes,11,200,1,0,ssbmjunglejapes
Big Tree,0,8,1,0,Big Tree
Double Sting,3,7,1,0,Double Sting
rainbowride,8,100,1,0,rainbowride
Peach's Castle,16,8,1,1,Peach's Castle
Bunkers,2,80,2,0,Bunkers
Hyrule Castle,5,8,2,0,Hyrule Castle
shipwreck,7,8,2,0,shipwreck
mushroomkingdom,10,1,2,0,mushroomkingdom
Haunted Temple,14,200,3,1,Haunted Temple
